日期,股票代码,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
2025-01-02,603028,6.06,6.0,6.21,5.96,56315,34222014.0,4.13,-0.99,-0.06,1.96
2025-01-03,603028,6.0,5.71,6.09,5.66,59644,34584600.0,7.17,-4.83,-0.29,2.08
2025-01-06,603028,5.71,5.67,5.78,5.43,46148,26151203.0,6.13,-0.7,-0.04,1.61
2025-01-07,603028,5.67,5.76,5.77,5.62,47051,26803635.0,2.65,1.59,0.09,1.64
2025-01-08,603028,5.76,5.73,5.79,5.54,52393,29757768.0,4.34,-0.52,-0.03,1.83
2025-01-09,603028,5.72,5.72,5.78,5.67,30025,17223792.0,1.92,-0.17,-0.01,1.05
2025-01-10,603028,5.75,5.49,5.76,5.49,44119,24758171.0,4.72,-4.02,-0.23,1.54
2025-01-13,603028,5.49,5.61,5.62,5.33,47210,26078026.0,5.28,2.19,0.12,1.64
2025-01-14,603028,5.68,5.97,6.1,5.63,96730,56876693.0,8.38,6.42,0.36,3.37
2025-01-15,603028,5.95,5.88,5.97,5.83,53189,31268596.0,2.35,-1.51,-0.09,1.85
2025-01-16,603028,5.9,5.99,6.05,5.87,47656,28399501.0,3.06,1.87,0.11,1.66
2025-01-17,603028,5.97,5.96,6.03,5.87,32064,19107496.0,2.67,-0.5,-0.03,1.12
2025-01-20,603028,5.9,6.01,6.04,5.79,61508,36555167.0,4.19,0.84,0.05,2.14
