日期,股票代码,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
2025-01-02,600231,1.79,1.76,1.81,1.74,156523,27829503.0,3.91,-1.68,-0.03,0.56
2025-01-03,600231,1.77,1.68,1.77,1.68,126560,21722678.0,5.11,-4.55,-0.08,0.45
2025-01-06,600231,1.68,1.71,1.71,1.64,108763,18361226.0,4.17,1.79,0.03,0.39
2025-01-07,600231,1.7,1.72,1.72,1.68,73929,12572916.0,2.34,0.58,0.01,0.26
2025-01-08,600231,1.72,1.7,1.72,1.66,80605,13628103.0,3.49,-1.16,-0.02,0.29
2025-01-09,600231,1.69,1.69,1.7,1.68,49008,8285422.0,1.18,-0.59,-0.01,0.17
2025-01-10,600231,1.68,1.63,1.7,1.62,97882,16173891.0,4.73,-3.55,-0.06,0.35
2025-01-13,600231,1.64,1.64,1.64,1.59,61942,10041541.0,3.07,0.61,0.01,0.22
2025-01-14,600231,1.64,1.7,1.7,1.63,95041,15916740.0,4.27,3.66,0.06,0.34
2025-01-15,600231,1.69,1.68,1.7,1.66,57118,9601756.0,2.35,-1.18,-0.02,0.2
2025-01-16,600231,1.69,1.72,1.74,1.69,112692,19373123.0,2.98,2.38,0.04,0.4
2025-01-17,600231,1.72,1.68,1.72,1.67,74745,12647682.0,2.91,-2.33,-0.04,0.27
2025-01-20,600231,1.67,1.74,1.79,1.63,239631,41420218.0,9.52,3.57,0.06,0.85
2025-01-21,600231,1.75,1.71,1.76,1.7,94381,16240117.0,3.45,-1.72,-0.03,0.33
2025-01-22,600231,1.69,1.68,1.7,1.66,64720,10902937.0,2.34,-1.75,-0.03,0.23
2025-01-23,600231,1.69,1.7,1.73,1.69,87983,15055349.0,2.38,1.19,0.02,0.31
2025-01-24,600231,1.7,1.73,1.76,1.67,121918,20880440.0,5.29,1.76,0.03,0.43
