日期,股票代码,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
2025-01-02,002819,27.15,26.31,27.29,26.04,48061,128412615.06,4.6,-3.13,-0.85,2.04
2025-01-03,002819,26.3,24.52,26.34,24.48,65564,166380488.0,7.07,-6.8,-1.79,2.79
2025-01-06,002819,24.22,24.21,24.74,23.86,38379,93120883.0,3.59,-1.26,-0.31,1.63
2025-01-07,002819,24.38,24.93,24.95,24.11,43293,106263248.0,3.47,2.97,0.72,1.84
2025-01-08,002819,24.79,25.0,25.34,24.16,49742,123958122.6,4.73,0.28,0.07,2.12
2025-01-09,002819,24.92,25.05,25.28,24.84,32323,81106869.6,1.76,0.2,0.05,1.37
2025-01-10,002819,24.97,24.45,25.44,24.43,35595,89074888.0,4.03,-2.4,-0.6,1.51
2025-01-13,002819,24.37,24.77,24.88,23.89,32905,80744551.0,4.05,1.31,0.32,1.4
2025-01-14,002819,25.21,25.84,25.95,24.79,52274,133362305.0,4.68,4.32,1.07,2.22
2025-01-15,002819,25.99,25.75,26.33,25.66,43050,111980469.5,2.59,-0.35,-0.09,1.83
