日期,股票代码,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
2025-01-02,600028,6.44,6.33,6.5,6.29,1719787,1136783089.0,3.26,-1.86,-0.12,0.18
2025-01-03,600028,6.35,6.34,6.42,6.31,1621873,1071128870.0,1.74,0.16,0.01,0.17
2025-01-06,600028,6.36,6.33,6.38,6.24,1294696,845595926.0,2.21,-0.16,-0.01,0.14
2025-01-07,600028,6.32,6.3,6.33,6.25,925315,602887577.0,1.26,-0.47,-0.03,0.1
2025-01-08,600028,6.3,6.35,6.47,6.29,1592767,1051268802.0,2.86,0.79,0.05,0.17
2025-01-09,600028,6.3,6.18,6.32,6.16,1728341,1113004055.0,2.52,-2.68,-0.17,0.18
2025-01-10,600028,6.19,6.06,6.22,6.06,1565838,993751803.0,2.59,-1.94,-0.12,0.17
2025-01-13,600028,6.09,5.98,6.12,5.93,1567142,975742257.0,3.14,-1.32,-0.08,0.17
2025-01-14,600028,5.98,6.03,6.04,5.94,1347198,839783498.0,1.67,0.84,0.05,0.14
2025-01-15,600028,6.01,6.03,6.15,6.0,1373818,864286887.0,2.49,0.0,0.0,0.14
2025-01-16,600028,6.07,6.05,6.11,6.02,1175984,739740895.0,1.49,0.33,0.02,0.12
2025-01-17,600028,6.03,5.99,6.06,5.98,1083559,676244497.0,1.32,-0.99,-0.06,0.11
2025-01-20,600028,6.01,5.94,6.02,5.93,1420354,878570797.0,1.5,-0.83,-0.05,0.15
2025-01-21,600028,5.95,5.84,5.96,5.83,1779529,1085654635.0,2.19,-1.68,-0.1,0.19
2025-01-22,600028,5.82,5.77,5.85,5.77,1268713,764092478.0,1.37,-1.2,-0.07,0.13
2025-01-23,600028,5.79,5.8,5.85,5.78,1348147,814651125.0,1.21,0.52,0.03,0.14
2025-01-24,600028,5.8,5.81,5.84,5.77,1075295,650074091.0,1.21,0.17,0.01,0.11
2025-01-27,600028,5.82,5.85,5.87,5.82,1313628,797303240.0,0.86,0.69,0.04,0.14
2025-02-05,600028,5.86,5.79,5.87,5.77,1316631,792570705.0,1.71,-1.03,-0.06,0.14
2025-02-06,600028,5.8,5.86,5.86,5.79,1039935,629429734.0,1.21,1.21,0.07,0.11
2025-02-07,600028,5.85,5.88,5.9,5.82,1478523,900717033.0,1.37,0.34,0.02,0.16
2025-02-10,600028,5.87,5.88,5.9,5.85,1244069,760329989.0,0.85,0.0,0.0,0.13
2025-02-11,600028,5.89,5.88,5.93,5.86,1191125,729128028.0,1.19,0.0,0.0,0.13
2025-02-12,600028,5.88,5.87,5.9,5.84,1178360,718121058.0,1.02,-0.17,-0.01,0.12
