日期,股票代码,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
2025-01-02,601869,29.46,28.25,29.77,27.92,67119,194404400.0,6.25,-4.63,-1.37,1.65
2025-01-03,601869,28.39,27.42,28.6,27.23,61617,174160889.0,4.85,-2.94,-0.83,1.52
2025-01-06,601869,27.68,27.38,28.33,27.04,42547,118559866.0,4.7,-0.15,-0.04,1.05
2025-01-07,601869,27.28,28.52,28.98,27.2,61611,174363792.0,6.5,4.16,1.14,1.52
2025-01-08,601869,28.57,29.17,29.68,28.1,76286,221883810.0,5.54,2.28,0.65,1.88
2025-01-09,601869,28.41,28.54,29.18,28.41,45518,131846181.0,2.64,-2.16,-0.63,1.12
2025-01-10,601869,28.38,27.22,28.52,27.18,47012,132013806.0,4.7,-4.63,-1.32,1.16
2025-01-13,601869,26.96,26.37,26.97,26.24,35533,95423739.0,2.68,-3.12,-0.85,0.87
2025-01-14,601869,26.6,28.14,28.19,26.34,51165,142111952.0,7.02,6.71,1.77,1.26
2025-01-15,601869,27.93,29.49,30.54,27.86,94418,278932973.0,9.52,4.8,1.35,2.32
2025-01-16,601869,29.49,29.48,29.73,28.96,48976,145126440.0,2.61,-0.03,-0.01,1.21
2025-01-17,601869,29.47,29.79,29.88,29.04,47226,140634686.0,2.85,1.05,0.31,1.16
2025-01-20,601869,30.21,29.74,30.28,29.43,47962,144407850.0,2.85,-0.17,-0.05,1.18
2025-01-21,601869,30.03,30.15,30.32,29.73,46066,139617527.0,1.98,1.38,0.41,1.13
2025-01-22,601869,29.99,31.42,31.85,29.99,114020,357749797.0,6.17,4.21,1.27,2.81
2025-01-23,601869,31.45,34.59,34.59,31.38,120409,415205581.0,10.22,10.09,3.17,2.96
2025-01-24,601869,35.01,38.08,38.08,34.78,142408,533130552.0,9.54,10.09,3.49,3.5
