日期,股票代码,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
2025-01-02,603036,16.8,16.2,16.9,16.08,36691,60993811.0,4.9,-3.11,-0.52,1.78
2025-01-03,603036,16.17,15.41,16.4,15.4,37621,59980091.0,6.17,-4.88,-0.79,1.83
2025-01-06,603036,15.3,15.12,15.56,14.9,30837,47576982.0,4.28,-1.88,-0.29,1.5
2025-01-07,603036,15.15,15.51,15.55,15.08,19513,30286556.0,3.11,2.58,0.39,0.95
2025-01-08,603036,15.31,15.28,15.85,14.99,27114,42176776.0,5.54,-1.48,-0.23,1.32
2025-01-09,603036,15.28,15.33,15.5,15.04,38604,59654772.0,3.01,0.33,0.05,1.87
2025-01-10,603036,15.27,14.49,15.48,14.49,45119,67725685.0,6.46,-5.48,-0.84,2.19
2025-01-13,603036,14.45,14.46,14.73,14.04,29322,42803327.0,4.76,-0.21,-0.03,1.42
2025-01-14,603036,14.66,15.54,15.58,14.63,48198,73971303.0,6.57,7.47,1.08,2.34
2025-01-15,603036,15.58,15.48,15.83,15.4,31929,50387052.0,2.77,-0.39,-0.06,1.55
2025-01-16,603036,15.57,15.79,16.1,15.48,44030,70476883.0,4.01,2.0,0.31,2.14
2025-01-17,603036,15.88,16.46,16.72,15.7,69589,114484121.0,6.46,4.24,0.67,3.38
2025-01-20,603036,16.6,16.83,16.98,16.47,57782,97542523.0,3.1,2.25,0.37,2.8
2025-01-21,603036,17.3,17.88,17.89,16.98,114038,203709298.0,5.41,6.24,1.05,5.54
2025-01-22,603036,17.72,16.94,17.82,16.87,68850,120487738.0,5.31,-5.26,-0.94,3.34
2025-01-23,603036,17.12,16.35,17.16,16.26,72197,121233830.0,5.31,-3.48,-0.59,3.5
2025-01-24,603036,16.3,16.6,16.75,16.16,39673,66119937.0,3.61,1.53,0.25,1.93
