日期,股票代码,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
2025-01-02,600820,6.9,6.56,6.95,6.53,441392,309794648.0,6.1,-4.79,-0.33,1.4
2025-01-03,600820,6.57,6.46,6.65,6.43,300406,205204988.0,3.35,-1.52,-0.1,0.96
2025-01-06,600820,6.44,6.43,6.52,6.35,293070,196726146.0,2.63,-0.46,-0.03,0.93
2025-01-07,600820,6.43,6.23,6.44,6.16,377319,246967271.0,4.35,-3.11,-0.2,1.2
2025-01-08,600820,6.23,6.23,6.28,6.11,247453,160919336.0,2.73,0.0,0.0,0.79
2025-01-09,600820,6.21,6.06,6.21,6.06,279571,178829279.0,2.41,-2.73,-0.17,0.89
2025-01-10,600820,6.08,6.02,6.1,5.98,231184,146211522.0,1.98,-0.66,-0.04,0.74
2025-01-13,600820,5.97,5.97,6.05,5.91,235982,147887058.0,2.33,-0.83,-0.05,0.75
2025-01-14,600820,5.97,6.07,6.08,5.97,302289,191648549.0,1.84,1.68,0.1,0.96
2025-01-15,600820,6.07,6.04,6.09,6.01,217205,137794125.0,1.32,-0.49,-0.03,0.69
2025-01-16,600820,6.05,6.02,6.1,6.0,230378,146106442.0,1.66,-0.33,-0.02,0.73
2025-01-17,600820,6.01,6.04,6.05,5.93,198057,124713881.0,1.99,0.33,0.02,0.63
2025-01-20,600820,6.06,6.01,6.14,6.0,217339,138222636.0,2.32,-0.5,-0.03,0.69
2025-01-21,600820,6.03,5.93,6.05,5.91,209691,131121358.0,2.33,-1.33,-0.08,0.67
2025-01-22,600820,5.94,5.91,5.95,5.88,146467,90951411.0,1.18,-0.34,-0.02,0.47
2025-01-23,600820,5.95,5.96,6.06,5.95,217705,137380943.0,1.86,0.85,0.05,0.69
