日期,股票代码,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
2025-01-02,002251,4.03,4.15,4.15,4.0,584676,240891225.8,3.8,5.06,0.2,3.86
2025-01-03,002251,4.11,3.94,4.13,3.94,409749,163011681.31,4.58,-5.06,-0.21,2.71
2025-01-06,002251,3.8,3.74,3.83,3.74,263177,98935946.77,2.28,-5.08,-0.2,1.74
2025-01-07,002251,3.66,3.73,3.75,3.66,194893,72206806.93,2.41,-0.27,-0.01,1.29
2025-01-08,002251,3.7,3.78,3.83,3.69,203319,76568500.31,3.75,1.34,0.05,1.34
2025-01-09,002251,3.75,3.74,3.78,3.7,156810,58704297.15,2.12,-1.06,-0.04,1.04
2025-01-10,002251,3.74,3.74,3.79,3.71,133765,50111372.17,2.14,0.0,0.0,0.88
2025-01-13,002251,3.72,3.79,3.84,3.7,154314,58243709.35,3.74,1.34,0.05,1.02
2025-01-14,002251,3.76,3.89,3.94,3.76,197990,76357901.86,4.75,2.64,0.1,1.31
2025-01-15,002251,3.86,3.85,3.9,3.81,148162,57073062.64,2.31,-1.03,-0.04,0.98
2025-01-16,002251,3.86,3.95,4.0,3.83,228449,89525570.71,4.42,2.6,0.1,1.51
2025-01-17,002251,3.94,3.89,3.95,3.88,144665,56473833.41,1.77,-1.52,-0.06,0.96
2025-01-20,002251,3.91,3.93,4.0,3.9,185994,73519788.39,2.57,1.03,0.04,1.23
2025-01-21,002251,3.95,3.95,3.98,3.91,152490,60239556.65,1.78,0.51,0.02,1.01
2025-01-22,002251,3.95,3.94,3.97,3.91,132960,52301753.68,1.52,-0.25,-0.01,0.88
2025-01-23,002251,3.99,4.01,4.08,3.97,234787,94166149.37,2.79,1.78,0.07,1.55
2025-01-24,002251,4.01,4.13,4.2,3.98,290046,119020625.06,5.49,2.99,0.12,1.92
2025-01-27,002251,4.14,4.27,4.3,4.1,281708,118429879.75,4.84,3.39,0.14,1.86
2025-02-05,002251,4.27,4.06,4.27,4.06,341391,140046035.25,4.92,-4.92,-0.21,2.26
2025-02-06,002251,4.06,4.1,4.14,4.0,203403,83013855.46,3.45,0.99,0.04,1.34
2025-02-07,002251,4.1,4.03,4.12,4.01,270536,110156059.0,2.68,-1.71,-0.07,1.79
2025-02-10,002251,4.01,4.08,4.1,3.99,200231,81228882.59,2.73,1.24,0.05,1.32
