日期,股票代码,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
2025-01-02,920300,11.6,11.45,11.95,11.31,22036,25673026.66,5.52,-1.29,-0.15,3.67
2025-01-03,920300,11.5,11.63,11.79,11.34,27492,31918056.24,3.93,1.57,0.18,4.57
2025-01-06,920300,12.07,11.83,12.49,11.68,39650,47703654.71,6.96,1.72,0.2,6.6
2025-01-07,920300,11.57,12.53,13.25,11.23,78925,96653345.6,17.08,5.92,0.7,13.13
2025-01-08,920300,12.17,12.62,13.07,12.02,60253,76441575.96,8.38,0.72,0.09,10.03
2025-01-09,920300,12.44,12.79,13.19,12.22,48040,61026135.54,7.69,1.35,0.17,7.99
2025-01-10,920300,12.81,11.73,12.82,11.73,38207,46735318.43,8.52,-8.29,-1.06,6.36
2025-01-13,920300,11.7,11.36,11.8,11.28,25053,28722515.35,4.43,-3.15,-0.37,4.17
2025-01-14,920300,11.4,12.42,12.58,11.4,48901,58883691.02,10.39,9.33,1.06,8.14
2025-01-15,920300,12.11,12.29,12.78,12.11,41397,51369402.51,5.39,-1.05,-0.13,6.89
2025-01-16,920300,12.53,12.54,12.84,12.2,32125,40241072.59,5.21,2.03,0.25,5.35
2025-01-17,920300,12.64,12.54,13.1,12.18,32917,41471647.96,7.34,0.0,0.0,5.48
2025-01-20,920300,12.56,12.16,12.75,12.1,28538,35338384.88,5.18,-3.03,-0.38,4.75
2025-01-21,920300,12.39,12.0,12.48,11.95,18982,23061745.53,4.36,-1.32,-0.16,3.16
2025-01-22,920300,12.15,11.6,12.17,11.55,20038,23548818.8,5.17,-3.33,-0.4,3.33
