日期,股票代码,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
2025-01-02,002428,18.7,18.32,19.01,18.08,226645,421363249.6,4.93,-2.91,-0.55,3.47
2025-01-03,002428,18.39,17.66,18.57,17.63,287071,521063916.54,5.13,-3.6,-0.66,4.4
2025-01-06,002428,17.61,17.87,18.24,17.25,288495,514534716.0,5.61,1.19,0.21,4.42
2025-01-07,002428,17.88,18.36,18.42,17.68,258847,471706003.11,4.14,2.74,0.49,3.96
2025-01-08,002428,18.3,18.07,18.3,17.48,257681,463001173.71,4.47,-1.58,-0.29,3.95
2025-01-09,002428,17.97,18.35,18.59,17.88,240993,443188897.72,3.93,1.55,0.28,3.69
2025-01-10,002428,18.38,18.01,18.76,17.99,334513,615284823.44,4.2,-1.85,-0.34,5.12
2025-01-13,002428,17.61,18.14,18.29,17.5,199848,359764923.0,4.39,0.72,0.13,3.06
2025-01-14,002428,18.23,18.89,18.92,18.04,319137,594512796.43,4.85,4.13,0.75,4.89
2025-01-15,002428,18.91,19.0,19.26,18.56,339137,643497820.98,3.71,0.58,0.11,5.19
2025-01-16,002428,19.02,19.29,19.48,18.9,317027,609874148.0,3.05,1.53,0.29,4.85
2025-01-17,002428,19.29,19.22,19.81,18.93,315119,608472049.26,4.56,-0.36,-0.07,4.83
2025-01-20,002428,19.23,19.0,19.3,18.9,237588,454702784.98,2.08,-1.14,-0.22,3.64
2025-01-21,002428,19.13,18.94,19.14,18.65,174465,329298233.94,2.58,-0.32,-0.06,2.67
2025-01-22,002428,18.79,18.72,19.01,18.61,154057,289805855.0,2.11,-1.16,-0.22,2.36
2025-01-23,002428,18.97,18.65,19.59,18.65,354564,681868922.62,5.02,-0.37,-0.07,5.43
2025-01-24,002428,18.62,18.9,18.9,18.52,209537,393800736.23,2.04,1.34,0.25,3.21
2025-01-27,002428,19.16,18.29,19.16,18.28,201502,377218609.53,4.66,-3.23,-0.61,3.09
