日期,股票代码,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
2025-01-02,600115,4.01,3.89,4.03,3.86,785472,309509699.0,4.25,-2.75,-0.11,0.46
2025-01-03,600115,3.89,3.85,3.93,3.83,601962,233368208.0,2.57,-1.03,-0.04,0.35
2025-01-06,600115,3.85,3.83,3.86,3.78,680640,259626178.0,2.08,-0.52,-0.02,0.4
2025-01-07,600115,3.8,3.8,3.84,3.77,596216,226361314.0,1.83,-0.78,-0.03,0.35
2025-01-08,600115,3.79,3.78,3.81,3.73,583087,219806387.0,2.11,-0.53,-0.02,0.34
2025-01-09,600115,3.78,3.74,3.83,3.74,565487,213274383.0,2.38,-1.06,-0.04,0.33
2025-01-10,600115,3.74,3.69,3.81,3.69,532953,199193558.0,3.21,-1.34,-0.05,0.31
2025-01-13,600115,3.7,3.72,3.73,3.65,684282,252001626.0,2.17,0.81,0.03,0.4
2025-01-14,600115,3.71,3.94,3.94,3.71,1079643,417187068.0,6.18,5.91,0.22,0.63
2025-01-15,600115,3.94,3.9,3.95,3.89,431279,168730298.0,1.52,-1.02,-0.04,0.25
2025-01-16,600115,3.94,3.94,4.02,3.91,628621,248905931.0,2.82,1.03,0.04,0.37
2025-01-17,600115,3.95,4.09,4.18,3.93,1274309,520411044.0,6.35,3.81,0.15,0.74
2025-01-20,600115,4.1,3.91,4.12,3.91,907376,362170468.0,5.13,-4.4,-0.18,0.53
2025-01-21,600115,3.99,3.97,4.02,3.94,723484,287899885.0,2.05,1.53,0.06,0.42
2025-01-22,600115,3.96,3.92,3.97,3.87,533882,208902225.0,2.52,-1.26,-0.05,0.31
2025-01-23,600115,3.92,3.85,3.96,3.84,670788,260545173.0,3.06,-1.79,-0.07,0.39
2025-01-24,600115,3.87,3.88,3.93,3.8,771616,298407479.0,3.38,0.78,0.03,0.45
2025-01-27,600115,3.9,3.88,3.93,3.86,610479,237526241.0,1.8,0.0,0.0,0.36
2025-02-05,600115,3.89,3.78,3.9,3.75,707330,268413431.0,3.87,-2.58,-0.1,0.41
