日期,股票代码,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
2025-01-02,920871,9.91,10.16,10.36,9.8,9328,10568724.03,5.65,2.42,0.24,2.36
2025-01-03,920871,10.34,10.08,10.36,9.97,10701,12192399.82,3.84,-0.79,-0.08,2.7
2025-01-06,920871,10.05,9.92,10.21,9.75,7732,8615829.23,4.56,-1.59,-0.16,1.95
2025-01-07,920871,9.94,10.18,10.22,9.73,6921,7748508.82,4.94,2.62,0.26,1.75
2025-01-08,920871,10.23,10.51,10.66,9.92,13581,15700565.72,7.27,3.24,0.33,3.43
2025-01-09,920871,10.54,10.86,11.27,10.44,15751,19165417.46,7.9,3.33,0.35,3.98
2025-01-10,920871,10.82,10.16,11.15,10.1,11931,14003393.06,9.67,-6.45,-0.7,3.01
2025-01-13,920871,10.12,9.64,10.12,9.55,9787,10692300.77,5.61,-5.12,-0.52,2.47
2025-01-14,920871,9.63,10.6,10.66,9.63,13373,15284540.52,10.68,9.96,0.96,3.33
2025-01-15,920871,10.64,10.73,11.15,10.61,12999,15813164.46,5.09,1.23,0.13,3.24
2025-01-16,920871,11.03,11.22,11.26,10.75,13474,16652629.9,4.75,4.57,0.49,3.35
2025-01-17,920871,11.33,11.08,11.5,11.0,12173,15325556.67,4.46,-1.25,-0.14,3.03
2025-01-20,920871,11.27,10.92,11.31,10.83,8734,10780007.35,4.33,-1.44,-0.16,2.17
2025-01-21,920871,11.1,11.03,11.1,10.73,5830,7120124.49,3.39,1.01,0.11,1.45
2025-01-22,920871,11.17,11.26,11.66,11.11,22021,27966344.05,4.99,2.09,0.23,5.48
2025-01-23,920871,11.35,11.71,11.91,11.15,18158,23359095.51,6.75,4.0,0.45,4.52
2025-01-24,920871,11.58,11.51,11.71,11.29,11796,15188907.36,3.59,-1.71,-0.2,2.94
