日期,股票代码,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
2025-01-02,002324,9.48,9.33,9.72,9.15,131068,124177553.83,6.01,-1.58,-0.15,1.69
2025-01-03,002324,9.3,8.85,9.39,8.82,154112,140773447.75,6.11,-5.14,-0.48,1.99
2025-01-06,002324,8.85,8.7,8.9,8.6,123584,108421137.98,3.39,-1.69,-0.15,1.59
2025-01-07,002324,8.73,8.73,8.8,8.56,133914,116923517.75,2.76,0.34,0.03,1.72
2025-01-08,002324,8.7,8.76,8.83,8.29,194779,167267488.51,6.19,0.34,0.03,2.51
2025-01-09,002324,8.7,8.95,9.13,8.65,150774,135306153.09,5.48,2.17,0.19,1.94
2025-01-10,002324,8.95,8.71,9.13,8.71,132192,118637193.35,4.69,-2.68,-0.24,1.7
2025-01-13,002324,8.61,8.7,8.8,8.45,89886,78089705.02,4.02,-0.11,-0.01,1.16
2025-01-14,002324,8.82,9.17,9.19,8.65,136317,123533467.99,6.21,5.4,0.47,1.76
2025-01-15,002324,9.17,9.06,9.18,8.99,100044,91339907.99,2.07,-1.2,-0.11,1.29
2025-01-16,002324,9.13,9.03,9.24,8.95,107779,98454365.33,3.2,-0.33,-0.03,1.39
2025-01-17,002324,9.02,9.15,9.26,8.97,101380,92960751.17,3.21,1.33,0.12,1.31
2025-01-20,002324,9.16,9.47,9.67,8.75,283905,262890601.69,10.05,3.5,0.32,3.66
2025-01-21,002324,9.53,9.67,9.81,9.45,175603,169487896.46,3.8,2.11,0.2,2.26
2025-01-22,002324,9.66,9.37,9.7,9.31,124133,118448269.6,4.03,-3.1,-0.3,1.6
2025-01-23,002324,9.46,9.31,9.67,9.3,135927,129505585.4,3.95,-0.64,-0.06,1.75
2025-01-24,002324,9.28,9.4,9.43,9.23,94285,88637738.66,2.15,0.97,0.09,1.21
2025-01-27,002324,9.41,9.17,9.52,9.14,95519,89097782.23,4.04,-2.45,-0.23,1.23
2025-02-05,002324,9.24,9.16,9.36,9.11,93148,86263254.46,2.73,-0.11,-0.01,1.2
2025-02-06,002324,9.14,9.85,9.93,9.08,222827,215735478.08,9.28,7.53,0.69,2.87
2025-02-07,002324,9.81,9.8,9.92,9.64,167045,164523529.33,2.84,-0.51,-0.05,2.15
2025-02-10,002324,9.8,9.66,9.9,9.61,165720,161628770.8,2.96,-1.43,-0.14,2.13
