日期,股票代码,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
2025-01-02,002728,8.87,8.74,9.02,8.7,147471,130907366.27,3.6,-1.8,-0.16,3.92
2025-01-03,002728,8.75,9.05,9.3,8.47,400129,364007219.38,9.5,3.55,0.31,10.64
2025-01-06,002728,9.27,9.7,9.85,9.13,745199,711249128.11,7.96,7.18,0.65,19.81
2025-01-07,002728,9.35,9.23,9.39,8.77,517790,472953603.97,6.39,-4.85,-0.47,13.77
2025-01-08,002728,9.18,9.5,9.61,9.09,634456,604222709.62,5.63,2.93,0.27,16.87
2025-01-09,002728,9.33,9.24,9.54,9.19,344839,323242388.37,3.68,-2.74,-0.26,9.17
2025-01-10,002728,9.19,8.62,9.24,8.61,381073,340305221.68,6.82,-6.71,-0.62,10.13
2025-01-13,002728,8.48,8.15,8.48,8.11,232943,192152093.92,4.29,-5.45,-0.47,6.19
2025-01-14,002728,8.17,8.46,8.61,8.16,216122,181113239.22,5.52,3.8,0.31,5.75
2025-01-15,002728,8.38,8.4,8.46,8.27,158245,133013255.42,2.25,-0.71,-0.06,4.21
2025-01-16,002728,8.4,8.39,8.51,8.34,126052,106708649.96,2.02,-0.12,-0.01,3.35
2025-01-17,002728,8.4,8.35,8.44,8.3,84332,70822449.76,1.67,-0.48,-0.04,2.24
2025-01-20,002728,8.4,8.36,8.41,8.32,80661,67844071.96,1.08,0.12,0.01,2.14
2025-01-21,002728,8.37,8.2,8.39,8.15,95902,79302236.64,2.87,-1.91,-0.16,2.55
2025-01-22,002728,8.2,7.96,8.2,7.95,143500,115640545.42,3.05,-2.93,-0.24,3.82
2025-01-23,002728,8.02,7.96,8.11,7.96,85546,69158935.02,1.88,0.0,0.0,2.27
2025-01-24,002728,7.98,7.96,8.03,7.86,85240,68079760.77,2.14,0.0,0.0,2.27
2025-01-27,002728,7.95,7.9,8.03,7.88,76369,61229719.2,1.88,-0.75,-0.06,2.03
2025-02-05,002728,8.01,8.1,8.13,7.98,101695,82562610.4,1.9,2.53,0.2,2.7
2025-02-06,002728,8.13,8.16,8.16,8.01,105329,85800277.32,1.85,0.74,0.06,2.8
