日期,股票代码,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
2025-01-02,002254,9.35,9.01,9.37,8.93,137357,126318288.34,4.71,-3.64,-0.34,1.68
2025-01-03,002254,9.01,8.84,9.17,8.82,99648,90026848.64,3.88,-1.89,-0.17,1.22
2025-01-06,002254,8.84,8.87,8.99,8.74,75014,66801985.04,2.83,0.34,0.03,0.92
2025-01-07,002254,8.88,8.87,8.9,8.79,57092,50803188.8,1.24,0.0,0.0,0.7
2025-01-08,002254,8.83,8.71,8.83,8.54,107389,93843916.0,3.27,-1.8,-0.16,1.31
2025-01-09,002254,8.71,8.69,8.76,8.63,49430,43290186.03,1.49,-0.23,-0.02,0.6
2025-01-10,002254,8.71,8.52,8.75,8.52,47156,40884609.12,2.65,-1.96,-0.17,0.58
2025-01-13,002254,8.46,8.6,8.64,8.45,53195,45815017.78,2.23,0.94,0.08,0.65
2025-01-14,002254,8.65,8.97,9.0,8.62,132116,116927488.0,4.42,4.3,0.37,1.61
2025-01-15,002254,8.97,8.99,9.02,8.87,83548,75277154.52,1.67,0.22,0.02,1.02
2025-01-16,002254,8.98,9.02,9.13,8.95,81472,74118923.08,2.0,0.33,0.03,1.0
2025-01-17,002254,9.0,9.12,9.13,8.97,78581,71721797.06,1.77,1.11,0.1,0.96
2025-01-20,002254,9.16,9.23,9.25,9.13,61641,57038644.89,1.32,1.21,0.11,0.75
2025-01-21,002254,9.25,9.23,9.31,9.19,61409,57027104.12,1.3,0.0,0.0,0.75
2025-01-22,002254,9.23,9.06,9.24,9.01,52259,47813887.59,2.49,-1.84,-0.17,0.64
2025-01-23,002254,9.14,9.03,9.23,9.02,70142,64543902.52,2.32,-0.33,-0.03,0.86
2025-01-24,002254,9.02,9.12,9.13,8.98,86835,78998710.08,1.66,1.0,0.09,1.06
2025-01-27,002254,9.01,8.92,9.07,8.83,83595,75308200.4,2.63,-2.19,-0.2,1.02
2025-02-05,002254,8.98,8.93,9.08,8.85,76046,68572016.6,2.58,0.11,0.01,0.93
2025-02-06,002254,8.86,9.04,9.04,8.84,62748,56491612.2,2.24,1.23,0.11,0.77
2025-02-07,002254,9.04,9.17,9.27,9.01,101424,93496681.76,2.88,1.44,0.13,1.24
