日期,股票代码,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
2025-01-02,920802,11.8,11.48,12.18,11.35,12227,18916644.5,7.02,-2.96,-0.35,7.19
2025-01-03,920802,11.71,11.52,11.86,11.18,9900,14996736.1,5.92,0.35,0.04,5.82
2025-01-06,920802,11.52,11.22,11.74,11.04,8587,12790279.72,6.08,-2.6,-0.3,5.05
2025-01-07,920802,11.34,11.38,11.39,10.83,11435,16850961.72,4.99,1.43,0.16,6.73
2025-01-08,920802,11.35,11.58,11.58,10.95,12136,18009224.95,5.54,1.76,0.2,7.14
2025-01-09,920802,11.42,11.87,12.18,11.28,18165,28373877.58,7.77,2.5,0.29,10.69
2025-01-10,920802,11.88,11.28,12.06,11.26,11205,17065334.16,6.74,-4.97,-0.59,6.59
2025-01-13,920802,11.05,10.8,11.18,10.65,10464,14944680.0,4.7,-4.26,-0.48,6.16
2025-01-14,920802,10.91,11.82,11.82,10.82,19485,29134442.05,9.26,9.44,1.02,11.46
2025-01-15,920802,11.75,11.87,12.33,11.62,20060,31627207.1,6.01,0.42,0.05,11.8
2025-01-16,920802,12.04,11.95,12.32,11.75,12896,20422471.2,4.8,0.67,0.08,7.59
2025-01-17,920802,11.95,12.62,12.72,11.79,22169,35537048.71,7.78,5.61,0.67,13.04
2025-01-20,920802,12.58,12.24,12.79,12.12,16135,26264307.8,5.31,-3.01,-0.38,9.49
2025-01-21,920802,12.32,11.9,12.47,11.83,10856,17122797.83,5.23,-2.78,-0.34,6.39
