日期,股票代码,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
2025-01-02,002871,8.82,8.78,10.27,8.68,136679,133288600.13,17.1,-5.59,-0.52,11.32
2025-01-03,002871,8.69,8.38,9.0,8.35,91299,81982522.76,7.4,-4.56,-0.4,7.56
2025-01-06,002871,8.29,8.21,8.41,7.89,52976,45447990.94,6.21,-2.03,-0.17,4.39
2025-01-07,002871,8.21,8.57,8.59,8.17,38461,33805088.37,5.12,4.38,0.36,3.19
2025-01-08,002871,8.58,8.51,8.7,8.19,30754,27226704.0,5.95,-0.7,-0.06,2.55
2025-01-09,002871,8.49,8.53,8.58,8.35,22695,20218065.0,2.7,0.24,0.02,1.88
2025-01-10,002871,8.61,8.28,8.67,8.27,24388,21562982.02,4.69,-2.93,-0.25,2.02
2025-01-13,002871,8.28,8.41,8.46,8.01,29481,25600195.55,5.43,1.57,0.13,2.44
2025-01-14,002871,8.41,8.92,8.93,8.41,43288,39508064.35,6.18,6.06,0.51,3.59
2025-01-15,002871,9.0,8.88,9.0,8.78,27286,25309173.18,2.47,-0.45,-0.04,2.26
2025-01-16,002871,8.9,8.89,9.03,8.78,24563,22790578.0,2.82,0.11,0.01,2.03
2025-01-17,002871,8.84,8.9,8.95,8.8,15892,14738179.37,1.69,0.11,0.01,1.32
2025-01-20,002871,8.9,9.18,9.24,8.9,31834,30270605.17,3.82,3.15,0.28,2.64
2025-01-21,002871,9.26,9.14,9.3,8.99,17508,16630643.61,3.38,-0.44,-0.04,1.45
2025-01-22,002871,9.14,9.02,9.14,8.96,25271,23777047.0,1.97,-1.31,-0.12,2.09
2025-01-23,002871,9.08,9.1,9.27,9.04,23935,22837204.92,2.55,0.89,0.08,1.98
2025-01-24,002871,9.07,9.13,9.21,9.0,23292,22078375.2,2.31,0.33,0.03,1.93
2025-01-27,002871,9.26,9.21,9.39,9.06,25375,24437203.28,3.61,0.88,0.08,2.1
2025-02-05,002871,9.21,9.25,9.31,9.14,17800,17126925.1,1.85,0.43,0.04,1.47
2025-02-06,002871,9.29,9.4,9.42,9.17,28324,27459452.36,2.7,1.62,0.15,2.35
2025-02-07,002871,9.42,9.43,9.54,9.31,28187,27749206.64,2.45,0.32,0.03,2.33
2025-02-10,002871,9.43,9.51,9.53,9.29,21996,21611138.43,2.55,0.85,0.08,1.82
2025-02-11,002871,9.52,9.5,9.57,9.41,17745,17516857.58,1.68,-0.11,-0.01,1.47
2025-02-12,002871,9.45,9.49,9.57,9.4,20081,19794538.9,1.79,-0.11,-0.01,1.66
