日期,股票代码,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
2025-01-02,600282,4.49,4.38,4.58,4.34,492718,229835990.0,5.35,-2.45,-0.11,0.8
2025-01-03,600282,4.44,4.39,4.51,4.37,363236,167948682.0,3.2,0.23,0.01,0.59
2025-01-06,600282,4.38,4.41,4.43,4.3,512787,234239916.0,2.96,0.46,0.02,0.83
2025-01-07,600282,4.4,4.34,4.42,4.27,417298,189585948.0,3.4,-1.59,-0.07,0.68
2025-01-08,600282,4.31,4.31,4.37,4.21,387506,174038526.0,3.69,-0.69,-0.03,0.63
2025-01-09,600282,4.31,4.31,4.35,4.25,237343,107198729.0,2.32,0.0,0.0,0.38
2025-01-10,600282,4.35,4.28,4.39,4.23,332795,150372396.0,3.71,-0.7,-0.03,0.54
2025-01-13,600282,4.24,4.3,4.32,4.18,263826,118045051.0,3.27,0.47,0.02,0.43
2025-01-14,600282,4.31,4.28,4.34,4.18,560558,249436799.0,3.72,-0.47,-0.02,0.91
2025-01-15,600282,4.25,4.24,4.31,4.23,333950,149064701.0,1.87,-0.93,-0.04,0.54
2025-01-16,600282,4.24,4.32,4.33,4.22,398500,178287464.0,2.59,1.89,0.08,0.65
2025-01-17,600282,4.32,4.23,4.32,4.19,270313,119973885.0,3.01,-2.08,-0.09,0.44
2025-01-20,600282,4.26,4.24,4.3,4.22,362524,161702052.0,1.89,0.24,0.01,0.59
2025-01-21,600282,4.25,4.12,4.27,4.1,331767,144588593.0,4.01,-2.83,-0.12,0.54
2025-01-22,600282,4.11,4.14,4.16,4.07,214713,92838200.0,2.18,0.49,0.02,0.35
